global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35
4388.973502730382	n/a	n/a	19263088.407669403	3410.1048471893746	n/a	n/a	11628815.068824468	4089.9531970127023	n/a	16727717.153754424	n/a	3879.330647320583	3529.9521341735426	n/a	n/a	n/a	n/a	-0.0659129077	0.0563920006	-0.0234053657	0.0382627285	-0.0526604391	-0.0137234927	-0.0129509726	0.0159105291	0.0815476435	-0.0122954011	-0.0235823866	0.0056459234	-0.0003470574	-0.0137694066	-0.0064514454	-0.000940847	0.0453357029	-0.0317117436	-0.0190904455	-0.0086900893	0.0088968033	-0.0003892336	0.0336303913	-0.0146155288	0.0009914874	-0.0235287846	0.0151869588	-0.0037222299	0.0064656393	-0.0142320404	0.0351373528	0.0017917429	-0.0231485048	0.0653857688	-0.0188137075	0.0282119717	-0.0725966159	0.0834813042	-0.0359251771	0.0467541858	-0.002926664	0.0001283688	0.1054052417	0.105393201	0.1053731342	0.1053450429	8.042572548561111e-05	n/a	6.468297319886876e-09	n/a	-0.011714146714695	n/a	0.0001372212332533	n/a	0.050456473144024	n/a	n/a	0.0025458556821336	-0.0009079996682377	n/a	n/a	8.244633975197733e-07	1.57084022234244e-07	n/a	n/a	2.4675390041288464e-14	-0.0003460001476562	n/a	1.197161021781122e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4382.532632132264	-6.440870598118636	41.48481406170912	19206592.27170415	3410.5164264118503	0.411579222475666	0.1693974563736738	11631622.294825058	4084.791705190535	-5.161491822167136	16685523.2747934	26.64099783029822	3873.791245197428	3517.458721926416	0.691012	18.283772	0.0476214582002196	0.0259233452941909	-0.0047470557	0.0046481266	-0.0241003147	0.042720295	0.1140759751	-0.0032692235	-0.015378387	0.0124631398	-0.0012354096	0.0014571249	-0.0133123764	0.0238378006	-0.0305192526	-3.31789e-05	-0.0033780479	-0.0121528266	0.0204884395	-0.0057050918	-0.0164414305	-0.0020799493	0.0056090841	-0.0012438014	0.0180690569	-0.0139484361	0.0013122649	-0.0256493031	0.0118329449	-0.0036483242	-0.0021044166	-0.0249361478	0.0303177861	-9.25426e-05	-0.094497224	-0.0532692535	0.0239901125	-0.0097906568	-0.0603304294	0.0148401153	0.0096645143	-0.0329181035	0.0291100376	-0.0162375833	0.1053731342	0.1052647956	0.1050843138	0.1048318124	0.0022512940406329	0.0021708683151472	5.068324857389209e-06	4.712669241710428e-06	-0.0201225910621474	-0.0084084443474524	0.0004049186710544	7.070193634420424e-05	0.0314205098406006	-0.0190359633034234	0.0003623678988892	0.0009872484386432	-0.0008109996597773	9.70000084604e-05	9.40900164131767e-09	6.577204481588964e-07	3.3656463171993785e-08	-1.2342755906225022e-07	1.5234362336065268e-14	1.132757513247774e-15	-8.299993899173023e-05	0.0002630002086644	6.888989872630941e-09	6.916910975755465e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4388.641541623828	6.108909491564191	37.31877517612306	19260174.580866367	3409.325671299939	-1.1907551119111304	1.4178977365424883	11623501.53298478	4088.5385408470097	3.746835656474559	16716147.399991397	14.03877743662914	3879.730718645557	3463.4846141864573	0.700866	18.544495	0.0115772133911688	0.0083810051904999	-0.0385825294	0.0258426892	0.0213164737	0.0240816494	-0.0440567315	-0.0016630182	-0.0062140088	-0.0116092982	-0.0114675046	-0.0053844724	0.0105886818	-0.0022504506	0.0206387399	-0.0059174625	0.0101786667	0.0055285952	-0.0107882874	-0.0244334316	-0.0181401815	-0.0072823841	0.0038828267	0.0004168887	0.0239848006	-0.007421775	0.0010883915	-0.015410745	0.0117216175	0.0020275681	-0.0062723961	-0.0152078332	0.0432028049	0.0010286394	-0.0204627467	0.0088925577	-0.0275720557	-0.0573308922	0.0652805849	-0.005023436	-0.004318839	0.0481252966	0.0023343026	0.0764773844	0.1053089291	0.1050081413	0.1045074645	0.1038078519	3.829031550139917e-05	-0.0022130037251315	1.4661482611966895e-09	4.897385487445899e-06	-0.0190636625237488	0.0010589285383986	0.0003634232288193	1.1213296494349966e-06	0.0319754697298577	0.000554959889257	3.079804786842518e-07	0.001022430664445	-0.0009659996520488	-0.0001549999922714	2.4024997604165044e-08	9.331553277584028e-07	4.008895926332912e-08	6.432496091335338e-09	4.13770059650444e-17	1.607124654816862e-15	-8.299993899168827e-05	4.1958624075189015e-17	6.888989872623975e-09	1.7605261342830318e-33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4388.456117092142	-0.1854245316853848	0.0343822569507442	19258547.091643445	3410.2595106368944	0.933839336955316	0.8720559072451441	11629869.92988939	4085.882234993255	-2.656305853754475	16694433.63823348	7.05596078869029	3876.626393581259	3510.0721141013205	0.658834	17.432354	0.0401533778614474	0.0225878230168202	-0.0187739643	0.0169213854	-0.0159158625	0.0115656878	-0.079479494	-0.0026355964	-0.000436754	0.0079282047	0.0587073137	-0.0018603768	-0.0159953535	0.0026954274	-0.0098458125	-0.0049582545	-0.008803827	0.0012585502	0.0260290104	-0.0055565821	-0.0167372549	-0.0075685254	0.0004009004	-0.0026922004	0.0265952795	-0.0041751623	0.0008493625	-0.0144500615	0.0132065892	-0.0057154436	-0.0032114656	-0.0179813617	0.0255327794	-0.0038148746	-0.0023872632	0.0587138775	-0.0224495374	0.0110440666	-0.0360935448	0.0967786998	-0.0007224715	0.0505639863	-0.0274653338	-0.0085324725	0.1052126458	0.1046235507	0.1036441676	0.10227815	0.0062725643283556	0.0062342740128542	3.934506325335914e-05	3.886617246734922e-05	-0.0042197183962997	0.0148439441274491	1.7806023344070114e-05	0.0002203426772588	0.0320422646431239	6.679491326620074e-05	4.4615604382392794e-09	0.0010267067234599	-0.0010239996395008	-5.799998745200004e-05	3.363998544432161e-09	1.0485752616977683e-06	2.0735993611076253e-07	1.6727097684743344e-07	2.7979579695494605e-14	4.299814310385952e-14	-0.0004049999767204	-0.0003220000377287	1.6402498114352454e-07	1.0368402429729177e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4389.694852211561	1.238735119418379	1.5344646960804664	19269420.895532675	3413.717665396596	3.458154759701756	11.958834342047911	11653468.299040789	4088.360604836443	2.47836984318792	16714692.435178608	6.142317079623316	3878.8887038724174	3522.330621796971	0.645335	17.075176	0.0467231608879686	0.0218081548945969	-0.0294093188	0.0257551206	-0.0140942123	0.027355812	0.0647317707	-0.0173001355	-0.0107230405	0.0112581523	0.0156308175	-0.0065851819	-0.0177044163	0.0126685545	-0.0173492552	-0.0116511518	-0.0078922354	-0.0087381754	0.0222978358	-0.0114452912	-0.0169696837	-0.006161402	0.0086128735	-0.0002708702	0.0280692046	-0.0078095225	-0.0014474994	-0.0202925825	0.0104277678	-0.0021939516	0.0016853266	-0.0293052445	0.0144708264	-0.0025002469	-0.0765703015	-0.0403899876	0.0315008909	0.0188924779	-0.0688637601	0.0285955787	-0.0056143727	-0.0225601301	0.013690324	-0.0300823223	0.1050843138	0.1041114925	0.1024967892	0.1002501592	6.833061405586704e-05	-0.0062042337142997	4.6690728172518546e-09	3.8492515981653465e-05	-0.0158755359781679	-0.0116558175818682	0.0002520326425941	0.0001358580835017	0.0402474631634106	0.0082051985202867	6.732528275731505e-05	0.00161985829109	-0.0009079996682376	0.0001159999712632	1.345599333306324e-08	8.244633975195916e-07	4.9032010229765894e-08	-1.5832792588099664e-07	2.5067732113778366e-14	2.4041380271718666e-15	-0.0001080000544792	0.0002969999222412	1.1664011767510169e-08	8.820895381127887e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4386.58343005245	-3.111422159110589	9.6809478522044	19242114.18881072	3424.340287339631	10.622621943034574	112.84009694463964	11726106.403497266	4089.684094677383	1.3234898409400555	16725515.994257169	1.751625359071534	3880.4359683661614	3503.471899496494	0.568059	15.03049	0.0317392635273668	0.022107066662312	-0.0187004241	0.0156708716	0.0073330357	0.0297211879	0.04187051	0.0007992929	0.011462398	-0.0292975539	-0.0430622696	-0.0058065386	-0.0034323607	-0.009658806	0.0421021764	-0.0031065713	-0.0015574601	0.016723118	-0.0255113045	-0.0102595203	-0.0170416087	-0.0084063787	0.0033206386	0.0037720166	0.0199004602	-0.0065881317	0.0010903836	-0.023322784	0.0121325144	0.0091216628	-0.0043226527	-0.0120363293	0.0421602712	0.0074538712	-0.034029631	-0.0259014188	-0.0067574036	-0.0470061938	0.0422045593	-0.0311110815	-0.0024261656	0.0308041699	0.0201971553	0.0837531749	0.104923972	0.1034725904	0.1010684743	0.0977337597	7.432952307340202e-05	5.99890901753497e-06	5.524878000319402e-09	3.598690940066238e-11	-0.0134168913684931	0.0024586446096747	0.0001800129739939	6.044933316682948e-06	0.056521386098268	0.0162739229348573	0.0002648405676896	0.0031946670864694	-0.0011679995150261	-0.0002599998467885	6.759992033004347e-08	1.3642228671012048e-06	6.307198097132982e-08	1.4039970741563934e-08	1.971207784239713e-16	3.978074783647791e-15	-0.0001079999997621	5.4717099991566376e-11	1.1663999948613601e-08	2.993961031487073e-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4394.4798612139175	7.896431161467262	62.35362508779122	19311453.25061469	3423.353097924689	-0.9871894149418948	0.9745429409733208	11719346.433070565	4093.0319687218976	3.347874044514356	16752910.696979452	11.208260617932911	3883.1605652776257	3489.5826923756063	0.665832	17.617512	0.0333589402891635	0.0243009681965766	-0.027308399	0.0259531483	-0.0016139714	-0.0025219142	-0.1243777775	-0.0153071349	-0.0113347358	0.0180961204	0.0434277871	-0.0127022207	-0.0080188975	0.0056738656	0.0415303514	-0.0153345048	0.0041599739	0.0030788195	0.0285488385	-0.0307898555	-0.0177480198	-0.0093090556	0.0029096993	0.0015677242	0.0265922086	-0.0016779321	0.0015255207	-0.0096814088	0.0119892679	-0.0027589133	-0.001265666	0.0032707241	0.0232531766	-0.0034112862	0.038631467	0.0770050009	-0.0417045231	-0.0053726572	0.0055024513	0.0706105356	-0.0067103934	0.0687104823	-0.0235023809	0.0285444095	0.1047316694	0.102707623	0.0993631376	0.0947412111	-7.915080362863591e-05	-0.000153480326702	6.2648497150588845e-09	2.3556210684564296e-08	-0.0148889704416887	-0.0014720790731955	0.0002216814408134	2.1670167977404114e-06	0.0334915387548306	-0.0230298473434373	0.000530373868662	0.0011216831681663	-0.0011370121801159	3.098733491019995e-05	9.602149248368964e-10	1.292796697731912e-06	-0.0001424385348285	-0.0001425016068094	2.030670794328117e-08	2.0288736204089812e-08	-0.000108581728959	-5.817291968999923e-07	1.178999186372574e-08	3.3840885852590997e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4389.202337734157	-5.27752347976093	27.852254079427915	19265097.161570985	3412.9441888456663	-10.408909079022578	108.34538821535864	11648188.036175404	4087.281981719312	-5.749987002585385	16705873.998087348	33.06235052990086	3876.248325315015	3540.390931105349	0.748403	19.802282	0.0419469018304202	0.0232801473365306	-0.0142749631	0.0182791183	-0.0310455363	0.0232531195	0.0747421979	-0.0046382236	-0.0104880938	0.0045278833	0.0149575489	-0.00433923	-0.0137671273	-0.0105544402	-0.0218056693	-0.0065133267	-0.0058368423	0.0014626799	0.0244103856	0.0033367024	-0.0164666697	-0.0074238102	0.0049751394	-0.001824887	0.0243672434	-0.0065812918	-0.0006953112	-0.0138099385	0.0061135771	-0.0003163249	-0.0027517344	-0.0175172712	0.0106214078	-0.000167821	-0.0692200257	-0.0382367502	0.0403492483	0.0252363523	-0.0774342416	0.0441588418	0.0003192864	-0.0354807613	0.0127106988	-0.0419355987	0.1045074645	0.1018175221	0.0973854535	0.0912870929	0.0046753256959846	0.0047544764996132	2.1858670363533885e-05	2.260504678537453e-05	-0.0195063865630231	-0.0046174161213344	0.000380499116746	2.132053163755883e-05	0.0384129963195079	0.0049214575646772	2.4220744560919374e-05	0.0014755582862425	-0.0007270006145831	0.0004100115655328	1.6810948387065756e-07	5.285298936042051e-07	3.925805480697876e-08	0.0001424777928833	2.029992146489852e-08	1.5411948672277485e-15	-0.0001080000544792	5.816744798000007e-07	1.1664011767510169e-08	3.3834520045060146e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4388.212400897877	-0.989936836279412	0.9799749398228916	19256408.07539391	3429.901737014264	16.957548168597896	287.55843989031786	11764225.925573466	4090.9028014697615	3.6208197504493	16735485.731073145	13.110335665243731	3883.8118993496073	3490.04175734373	0.611575	16.181898	0.0246020280601595	0.0127698103799726	-0.024194438	0.0157475576	0.0002457789	0.0295802055	0.0185421749	-0.0133910245	0.0094447004	-0.0277193738	-0.0296795961	-0.0057862531	0.0134005364	-0.0107769032	0.0249069171	-0.0083497578	0.0120864912	0.0091193486	-0.0248023065	-0.0126447146	-0.0157788743	-0.0095902742	0.0004960656	-0.000923199	0.0211363373	-0.0045423071	-0.0016949126	-0.0111726084	0.0054821413	0.0012584914	-0.0084860145	-0.0165368972	0.0336367638	-6.7957e-05	-0.0247201302	-0.0196448389	-0.0097108333	-0.0534193902	0.0500247437	-0.0128043292	0.0084643245	0.027532462	0.017433267	0.0597780567	0.1042514257	0.1008033722	0.0951408427	0.0873882332	-0.0027376647374666	-0.0074129904334512	7.494808214768067e-06	5.4952427166439006e-05	-0.0240525195642788	-0.0045461330012556	0.00057852369739	2.0667325265106137e-05	0.0348205330745514	-0.0035924632449564	1.2905792166363362e-05	0.0012124695235959	-0.0009079996682376	-0.0001809990536544	3.2760657423824547e-08	8.244633975195916e-07	4.9032010229765894e-08	9.773955422787126e-09	9.553020460662987e-17	2.4041380271718666e-15	-0.0001080000544792	0.0	1.1664011767510169e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4383.773496699745	-4.43890419813215	19.703870480195224	19217470.07036711	3417.8653544204494	-12.036382593814778	144.87450594468737	11681803.580947625	4088.0844649280575	-2.8183365417039568	16712434.592386125	7.943020862303819	3876.918701632269	3495.828360916213	0.596442	15.781486	0.0415004802028967	0.0260243156471088	-0.0193872711	0.0162349996	-0.0279977105	0.0182317654	-0.0699984287	-0.0068571115	0.0040903105	-0.0015440932	0.0521236227	-0.0031335372	-0.0131714797	-0.000336349	-0.0114502788	-0.0037358022	-0.0040546599	0.0026928754	0.015761811	-0.0081056517	-0.0162685277	-0.0069621587	0.002753708	-0.0015786459	0.0212182825	-0.0030760846	0.0025518917	-0.0054577399	0.0075693619	-0.0091068197	0.0020185581	-0.0226687292	0.0154479244	-0.0098578983	0.0111838976	0.0456117435	-0.0224946167	0.0175599373	-0.036395315	0.0801504278	-0.0153891145	0.0243109735	-0.0247395668	-0.0188574819	0.1039636308	0.099666409	0.0926354574	0.0830636267	4.194802896506644e-05	0.0027796127664316	1.759637134054053e-09	7.726247131309901e-06	-0.0219621602722526	0.0020903592920261	0.0004823364838241	4.369601969760269e-06	0.027273461879389	-0.0075470711951623	5.6958283624850005e-05	0.0007438417228864	-0.0008000257855068	0.0001079738827307	1.1658359351964541e-08	6.400412574757723e-07	-0.0004729566115151	-0.0004730056435253	2.2373433880681137e-07	2.2368795637584526e-07	-0.0001086892672086	-6.892127294000062e-07	1.1813356806342453e-08	4.750141863670062e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
