global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22
4471.495090275805	n/a	19994268.342360627	n/a	3074.6307505289715	n/a	n/a	9453354.252098346	4108.90492470244	n/a	n/a	16883099.68024397	4023.720053883781	3262.4795480558414	n/a	n/a	n/a	n/a	-0.0087748448	-0.0309464942	-0.0719683353	0.027083153	-0.0331348678	-0.0411092001	0.0510489716	0.0179723607	-0.100238814	0.0512169205	0.0422175653	-0.0143659839	-0.0176275004	0.0130749555	-0.0112450489	0.0046139076	-0.0433821911	0.0490763249	-0.0493077528	0.0086984951	-0.0336981408	-0.0157493564	0.0132610396	0.0115686813	0.0315804005	-0.0139518501	0.0479258337	-0.0291331729	0.0240084649	-0.0257601732	0.0472084664	-0.0174075553	-0.0119066156	0.0042869778	-0.0219396933	0.0750618256	-0.0426132577	0.0209026887	-0.0213938379	0.0099199759	-0.0443080327	0.0098283818	-0.0362722568	0.0309277805	-0.0660949794	0.1016578756	-0.0265433713	0.0638518811	-0.0241653295	0.0534153946	-0.0639780676	0.0414392663	-0.0058895341	0.0101522486	-0.0386771726	0.1054052417	0.105393201	0.1053731342	0.1053450429	-0.0186333626179902	n/a	0.0003472022024535	n/a	-0.0182790081503867	n/a	n/a	0.0003341221389619	0.0744396743740622	n/a	n/a	0.0055412651209164	-0.0011132349588289	n/a	n/a	1.2392920735587826e-06	0.0005730170861839	n/a	n/a	3.283485810586871e-07	-0.0009271816794075	n/a	n/a	8.596658666289121e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4466.813582484556	-4.681507791248805	19952423.580668516	21.916515199523264	3069.8711401367186	-4.759610392252853	22.653891086041355	9424108.817044316	4108.692705464159	-0.21221923828125	0.0450370050966739	16881355.747934394	4024.40496860544	3252.572693504	0.859376	13.323952	0.0637315132063878	0.0444141798017688	-0.014392671	-0.0262885348	-0.0352541236	0.0639596309	0.0338941601	-0.0502570848	0.0179290977	0.0630997164	0.0134831865	-0.05987151	0.0449152401	-0.0977097602	-0.0132942595	0.0239258576	0.0273977976	-0.0052582904	-0.0561294227	0.0252670954	0.0713616615	-0.0473659416	-0.0292654933	-0.0093524528	0.0191069148	-0.0302458322	0.0341267093	-0.0061496667	-0.0880847348	-0.0442262483	0.059461848	0.0002835115	-0.0661091848	-0.0150212247	-0.0214283942	0.0260993552	-0.0421547895	0.0812889343	-0.0281154331	0.0401814742	0.0209104437	0.015077984	0.0409729048	-0.0322880746	-0.1100807501	-0.0638806598	0.0059036312	0.0176616701	0.0018146794	0.0091010954	-0.0390696373	0.0490389865	-0.0772209298	-0.010742486	0.0098585109	-0.0929784053	-0.103163073	0.1053731342	0.1052647956	0.1050843138	0.1048318124	-0.0172646377304204	0.0013687248875698	0.0002980677159626	1.8734078178529637e-06	-0.0236415994374539	-0.0053625912870672	2.8757385312129045e-05	0.000558925223961	0.0315923900802914	-0.0428472842937707	0.0018358897713512	0.0009980791109852	-0.0010071657104345	0.0001060692483943	1.1250685454952922e-08	1.0143827682750311e-06	0.0006530165036489	7.999941746500005e-05	6.399906794739354e-09	4.264305540378338e-07	-0.0010241712683077	-9.69895889002e-05	9.406980355029798e-09	1.0489267868270027e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4466.791192699346	-0.0223897852101799	19952223.55917644	0.0005013024817579	3045.3866798909507	-24.48446024576788	599.4887935265876	9274380.030057227	4113.955650916467	5.2629454523075765	27.698594833965	16924631.09770753	4031.968144362336	3231.525582326484	1.122665	17.406034	0.2020580194372089	0.1137522748478812	0.0018331575	0.0518533713	-0.0405849686	0.0182079085	-0.0198486851	-0.0313802251	0.0143587291	-0.0121951313	0.1442932067	-0.0048922868	0.0151549998	0.0373014975	0.0230580582	0.0017654918	-0.0143188644	-0.025116547	0.0187886235	-0.056103265	-0.0160234662	-0.1067066684	-0.0536367011	0.0269776018	-0.0009320205	0.0059205363	-0.0258073115	-0.0268763584	0.0330432949	0.0936938284	0.0471849269	0.0817268284	-0.0964132463	-0.0082293902	0.0690366682	-0.0124071312	0.0207289773	0.0583577459	-0.0061686456	-0.0265453051	0.0025973612	0.1177726464	0.031072522	-0.0835450911	-0.0160010076	0.1001604183	-0.0404571416	0.1331898612	-0.018563701	-0.1583542907	-0.0445304392	0.0212861429	-0.0206274702	0.0840063226	0.052504358	0.1437795579	0.0425244705	0.1053089291	0.1050081413	0.1045074645	0.1038078519	0.0042283222511372	0.0214929599815576	1.787870905946196e-05	0.0004619473287688	0.0187955216665329	0.0424371211039868	0.0018009092475944	0.0003532716347171	-0.0680038975746981	-0.0995962876549895	0.0099194205146554	0.00462453008535	-0.0008617756477245	0.00014539006271	2.1138270334817755e-08	7.426572670109815e-07	0.0008092394286278	0.0001562229249789	2.4405602288963026e-08	6.548684528458482e-07	-0.0005551512420631	0.0004690200262446	2.199797850184853e-07	3.081929015642026e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4462.075699792387	-4.715492906958389	19910119.55067772	22.235873355574878	3032.4729923502605	-12.913687540690262	166.7633258985789	9195892.449333742	4117.45660296057	3.500952044103542	12.256665215112768	16953448.8772636	4035.427542971107	3229.6812524421543	1.000281	15.508559	0.1641553763838971	0.0829840818800222	-0.0031368957	0.0098511665	-0.0404454933	-0.0338285912	0.0070919947	-0.011610399	-0.0010253841	-0.0533884428	0.0100928729	0.0518895317	0.0683528558	0.0429319806	0.0166776166	0.0253425581	0.0498724044	0.0053619709	-0.0905569509	0.0172513226	0.0487915223	0.0056091321	-0.0363323018	0.0251664452	0.024501213	-0.0491252772	0.0884600093	-0.0315785789	-0.0228704731	-0.0520098073	-0.0171118591	0.0126173697	-0.0167288158	-0.0086689727	0.0239220283	0.0039535174	-0.0099147287	0.0351635709	-0.0589042309	-0.0079069085	0.0457600393	0.0159006536	-0.0313702764	0.0684591129	-0.0240524893	-0.0876015713	0.0419653121	-0.0257651181	0.0526554592	-0.1115394201	-0.0305696232	0.1084802361	-0.023833636	0.0315270277	-0.0016203468	0.0127370212	0.0777219654	0.1052126458	0.1046235507	0.1036441676	0.10227815	0.0220313818538073	0.01780305960267	0.0004853817863882	0.0003169489312162	-0.0240012252989316	-0.0427967469654645	0.0018315615508259	0.00057605881585	-0.0042824739684306	0.0637214236062675	0.0040604198264093	1.833958329028573e-05	-0.000639926552013	0.0002218490957115	4.92170212680103e-08	4.095059919712467e-07	0.0003056550232094	-0.0005035844054184	2.535972533806036e-07	9.342499321313885e-08	-0.0004839018190031	7.124942305999996e-05	5.0764802863828555e-09	2.3416097043450895e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4464.507294981955	2.4315951895678154	19931825.38694709	5.9126551659293405	3054.364739786784	21.891747436523477	479.2486058245321	9329143.963652788	4117.714802538228	0.2581995776572512	0.0666670219023829	16955575.195042435	4032.900041551045	3218.754123817202	0.946943	14.681602	0.0407143818738561	0.0232819676078498	-0.0153917076	0.0260953077	-0.0207769711	-0.0378577387	0.1053360338	-0.0091524146	0.0074846716	0.0498199144	-0.0309448822	0.1338117275	0.0546516576	0.0285549626	0.0239914572	0.0334093709	0.0917341531	0.0034659216	-0.0124851466	0.0189193287	0.0686636412	0.0270635297	-0.0115074694	0.0286143174	0.0254145959	-0.1035685538	0.0206269814	0.010862545	-0.0578405193	-0.057549649	-0.0168139685	0.0035116745	0.0620183126	0.0062853048	0.0380629859	0.0596106737	0.0150614473	0.0428563294	-0.060937602	0.0540621939	-0.0181224367	-0.009586616	-0.082337357	-0.0049559114	0.0025906543	-0.0290793267	-0.0145234066	0.0629942801	-0.0287438798	0.0449949931	0.0019129604	-0.0244923387	0.0602317636	-0.0253615199	-0.0560243552	-0.0329490553	-0.0598798649	0.1050843138	0.1041114925	0.1024967892	0.1002501592	0.0100003993295558	-0.0120309825242514	0.0001000079867505	0.0001447445404988	-0.023589579184815	0.0004116461141165	1.6945252326729664e-07	0.0005564682461166	-0.0040338383715976	0.000248635596833	6.181966001250222e-08	1.6271852008173175e-05	-0.0010073810330867	-0.0003674544810737	1.3502279566114217e-07	1.0148165458228269e-06	0.0004272799180553	0.0001216248948458	1.4792615046276227e-08	1.825681283733439e-07	-0.0005552847958566	-7.138297685349999e-05	5.095529384467315e-09	3.08341204509506e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4456.847027248615	-7.660267733340333	19863485.42429481	58.67970174645505	3042.1340932210287	-12.23064656575525	149.5887154164207	9254579.841137731	4109.316586486295	-8.39821605193265	70.53003285493922	16886482.807971373	4021.813222404842	3207.708204070907	0.9600010000000002	14.884061	0.0921206167312149	0.0481335266622879	-0.0088261134	0.0170564647	0.0328852306	0.0260768126	0.0496944087	0.0293141627	0.0333127892	0.0797890047	-0.0963397628	0.0632127891	-0.0035797401	0.0015541222	-0.0106382818	-0.0061682512	0.0100546074	-0.0111918841	0.0195314131	0.0375282337	0.0189544835	0.0192829752	-0.0618956466	-0.0166435531	-0.0111884892	-0.0228932404	-0.0226707887	0.0143737751	-0.0344779357	-0.053837862	0.0302103299	-0.0190235478	0.0738756931	-0.0031262906	0.0071317673	0.0247546688	-0.0217135962	0.0498237866	-0.0250120847	0.0201419025	0.0075836378	0.0057566871	0.018636298	-0.032313421	-0.0088924054	-0.0655308303	0.0134147425	0.0116541561	-0.0542129688	0.0786045829	-0.0488577082	-0.0299108771	-0.05578639	0.0232525538	0.030917179	0.0027311337	-0.0236746627	0.104923972	0.1034725904	0.1010684743	0.0977337597	0.0104047218858198	0.000404322556264	0.0001082582375212	1.6347672950385585e-07	-0.001717898015741	0.021871681169074	0.0004783704371616	2.951173592486865e-06	0.0105011671307693	0.0145350055023669	0.0002112663849538	0.0001102745111083	-0.0016699657615391	-0.0006625847284524	4.390185223783408e-07	2.788785644712866e-06	0.0002957036999842	-0.000131576218071	1.7312301161893655e-08	8.744067818434578e-08	-0.0002432535923099	0.0003120312035467	9.736347198680213e-08	5.917231017167104e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4450.450554600024	-6.396472648591043	19806510.13893966	40.91486234417332	3038.6653517659506	-3.4687414550780886	12.032167282177255	9233487.12002289	4109.073948525975	-0.2426379603202804	0.0588731797883859	16884488.714454845	4023.2928979678777	3199.95301116322	0.945408	14.657804	0.1292062906913865	0.0881131838232439	0.0103306294	0.0747541651	0.0556568077	0.0561157166	-0.0258289315	0.0178266444	-0.0177101967	0.0810085376	0.1215266342	-0.0804334632	-0.0295591932	-0.0339763933	-0.0007006972	0.0023493304	-0.0057023085	-0.0027698142	0.0914855713	-0.0366815458	0.0074852998	-0.0681676434	-0.0088128795	-0.0055596619	-0.0026059917	-0.0101302129	-0.0876332695	0.0357745038	-0.0371096177	0.0527039438	0.0642104771	0.0570148468	0.0130760844	-0.0120916596	0.0341860522	-0.0568167778	-0.0499488701	0.0182204474	0.0355998515	-8.97e-05	-0.0251530815	-0.0544551956	0.0667304671	-0.0834179573	0.0261769917	0.0060927525	0.0084214191	-0.0287357922	-0.1215151653	-0.0411541981	-0.0035759816	0.0978519596	-0.0353063045	0.0619925488	0.0599322064	0.0071331517	-0.0071859375	0.1047316694	0.102707623	0.0993631376	0.0947412111	0.0220243113836602	0.0116195894978403	0.0004850702919244	0.0001350148600983	0.0069681582343719	0.0086860562501129	7.544757318012538e-05	4.855522917924491e-05	0.0193052359462058	0.0088040688154365	7.751162770694148e-05	0.0003726921349386	4.300761272433527e-05	0.0017129733742634	2.9342777809354597e-06	1.849654752246405e-09	0.000104996881288	-0.0001907068186962	3.636909069722531e-08	1.1024345080206364e-08	-0.0001450022627096	9.825132960029998e-05	9.653323768226784e-09	2.1025656190903858e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4455.7167211545375	5.266166554513802	19853411.49917614	27.73251017987977	3007.691479492188	-30.97387227376248	959.380763631352	9046208.035809908	4109.499338785808	0.4253902598329659	0.1809568731607582	16887984.81548099	4028.297847781561	3178.418384468573	0.8498329999999998	13.175986	0.1019832525607355	0.0655364712472118	0.0111827088	0.048951321	0.0368649491	-0.0054760677	-0.024396649	0.0463540304	-0.0343873782	-0.068222269	0.0786155442	0.0125976236	-0.0153149969	0.0573173089	-0.0056967898	0.0042459551	0.0070108734	-0.0320869806	0.0157064089	0.0242920265	0.0062902521	-0.0162834417	0.0101179139	0.000902722	0.0066811775	-0.0035037139	-0.014405877	-0.0233173288	0.0685934745	-0.0051350269	-0.0445911593	0.0915033461	-0.0271573115	-0.0086836191	0.0402028948	-0.0314596806	-0.0462755926	0.0193782217	0.0158035247	-0.0070938159	-0.0144534583	-0.0701224901	0.0546601469	-0.0258138688	0.057244017	-0.0785075235	0.0552797204	-0.0427006318	-0.0098832864	-0.1247489708	0.0055164223	0.0580716042	-0.0659296618	0.0544503437	0.0183132261	0.0761333352	0.0538800556	0.1045074645	0.1018175221	0.0973854535	0.0912870929	0.02203006416633	5.752782669801726e-06	0.0004853237271726	3.3094508445971077e-11	0.0039268629447946	-0.0030412952895773	9.249477038405072e-06	1.5420252587200916e-05	-0.0398270761543244	-0.0591323121005302	0.0034966303343545	0.0015861959950023	0.000437049284794	0.0003940416720696	1.5526883932745726e-07	1.9101207733894694e-07	0.0004079461611856	0.0003029492798976	9.17782661904744e-08	1.6642007042606754e-07	-0.0002440891585015	-9.90868957919e-05	9.818212917674849e-09	5.95795172979704e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4458.784549431307	3.0678282767694327	19880759.658247344	9.411570335746108	3018.32315633138	10.63167683919164	113.03255241300396	9110274.676046222	4111.858847854483	2.359509068675834	5.567283045163501	16907383.1846792	4027.662563676903	3204.7374457565006	0.826196	12.80952	0.1850640631915209	0.1019131310852849	-0.000729414	0.0098136106	0.0063263642	-0.0384087764	0.056163136	0.0360424428	-0.014965519	-0.0562819289	0.0252623467	0.0722000943	0.0021376587	0.0159398224	0.0047641961	0.0095135708	0.0304559965	0.0003031285	0.0061281496	-0.0114793435	0.029634607	-0.0001719873	0.0631252155	0.0053784809	0.0043193948	-0.0347054032	0.004291884	0.0089704713	0.0093877813	-0.0078474017	-0.0703238542	0.0600576137	0.0438242318	0.0010932958	0.0291315223	0.0396365981	0.001602823	0.0273764756	-0.0148053044	0.0099475226	-0.055048507	-0.0554796366	-0.0725910788	0.0209416303	0.1102004245	0.0275915782	0.0046904332	0.0430750915	-0.0248648633	-0.0568435577	-0.0317841853	0.058841851	0.0535346953	0.0555922395	0.0605926038	0.047295883	-0.0115422926	0.1042514257	0.1008033722	0.0951408427	0.0873882332	0.0074872725516428	-0.0145427916146872	5.605925026258368e-05	0.0002114927879482	-0.0237997436332477	-0.0277266065780423	0.0007687647123335	0.0005664277970083	0.006545371348622	0.0463724475029464	0.0021504038874135	4.2841886091361776e-05	-0.0012179460407925	-0.0016549953255864	2.7390095277131648e-06	1.483392558282126e-06	0.0002802376524313	-0.0001277085087543	1.6309463208247122e-08	7.85331418402061e-08	-0.0003898296740776	-0.0001457405155761	2.1240297880387453e-08	1.5196717479144786e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4460.747245431404	1.962696000096912	19898265.98762385	3.8521755887964177	3010.2898588053386	-8.033297526041224	64.53386914190006	9061845.034026263	4107.833743103549	-4.025104750934588	16.201468255996193	16874298.06098011	4024.205944696551	3208.5424075234528	0.822488	12.752018	0.0471168003889082	0.0286195696729353	-0.0078766612	-0.0361780694	0.0183099585	-0.020467852	0.0621956199	0.0371615398	-0.0091114175	-0.0913883798	-0.0490198827	0.0773390581	0.0432917749	0.0103810006	-0.0191281238	-0.0127482105	-0.0174538543	-0.0088835992	-0.0465642103	0.0329595632	-0.0528372011	0.0564199797	0.0300259219	-0.0163990708	-0.0042113073	0.0156566118	0.0523057087	-0.0366043228	0.0513969599	-0.0312476498	-0.0445238789	-0.0280084257	0.0408592844	0.0053064083	-0.0055307774	0.0602085747	-0.0088961168	0.0523624392	-0.0612058644	-0.0031692895	-0.002756179	0.0076137525	-0.0382778968	0.0616719731	0.0395924606	-0.0599024091	0.0240258194	-0.008401488	0.0031678206	0.0575872546	-0.035504221	-0.0525089998	-0.0394445477	0.0363953225	-0.0567531052	0.0639506517	0.0326504693	0.1039636308	0.099666409	0.0926354574	0.0830636267	0.0084367292567293	0.0009494567050865	7.117840055135213e-05	9.014680348337132e-07	-0.0234507106567889	0.0003490329764587	1.2182401865568808e-07	0.0005499358303084	0.0060018352749864	-0.0005435360736356	2.954314633432045e-07	3.6022026668071073e-05	-0.0016780006689517	-0.0004600546281592	2.116502608906999e-07	2.815686245002353e-06	9.664837361533785e-07	-0.0002792711686951	7.799238566435304e-08	9.340908122489933e-13	-0.0005559993698978	-0.0001661696958202	2.7612367808977812e-08	3.091352993267507e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
