global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	w_comp_cor_00	w_comp_cor_01	a_comp_cor_00	a_comp_cor_01	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32
3875.720503105591	n/a	n/a	15021209.418193055	3008.059271667229	n/a	9048420.58186318	n/a	3858.427548166049	n/a	14887463.144446667	n/a	3687.493645550884	2912.0828018520765	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0155843160044923	n/a	n/a	0.0002428709053278	-0.0546954239981118	n/a	n/a	0.0029915894063332	0.1536792357699141	n/a	0.0236173075068248	n/a	0.0005801180793211	n/a	3.365369859552021e-07	n/a	-0.0004698552024526	n/a	2.2076391127177375e-07	n/a	0.0005001360669441	n/a	2.5013608545831325e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3817.682227817808	-58.03827528778311	3368.4413983804952	14574697.59259594	2889.601985224971	-118.457286442258	8349799.633016094	14032.128711263163	3829.618319236626	-28.80922892942272	14665976.47103276	829.9716715078868	3635.8164352328936	2857.895407385112	2.031578	39.917652	0.2054793395918157	0.1114142655093395	-0.0188353565	-0.0136395938	-0.0461616593	0.0091232858	0.0528784167	0.1352164346	0.0042736237	-0.1339099576	-0.0109113423	-0.0728842668	-0.0046553971	-0.0889501662	-0.0330185815	-0.0021503767	-0.018657251	0.0180507631	-0.0158312796	0.0222254665	-0.0508836068	0.0231854368	-0.0224501403	0.0117463208	-0.0080917342	0.0678128498	-0.025576061	0.1503806551	-0.0767642503	0.0206810923	-0.0126804283	0.064916281	-0.0077499717	0.0362165369	-0.0833773704	0.1291582947	-0.0783626572	0.0134325034	0.1056992146	0.105687005	0.1056666568	0.1056381715	0.0	0.0368250012397766	0.0212406852352842	0.0004511667092644	0.0013560807163095	-0.0315622471275958	0.023133176870516	0.0005351438721225	0.0009961754437434	0.0538792270482986	-0.0998000087216155	0.0029029711073221	0.0099600417408345	0.0003239999734298	-0.0002561181058913	1.049759827825111e-07	6.559648416534719e-08	0.0	0.0004698552024526	0.0	2.2076391127177375e-07	0.0	-0.0005001360669441	0.0	2.5013608545831325e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3823.0387783203546	5.356550502546725	28.692633286333567	14615625.50054119	2948.677916475775	59.07593125080393	8694701.455111917	3489.9656531497126	3828.486937601221	-1.1313816354049775	14657312.231383177	1.2800244049316418	3646.5052149081566	2855.642422380348	0.900684	17.697163	0.0325575245501933	0.0203300502480023	-0.0367825271	-0.0103055393	-0.0205773628	0.0369530835	-0.0389156979	-0.0445580669	-0.0826887793	-0.1429867546	-0.0112746939	0.0345830686	-0.016432585	0.0431946991	-0.0349376465	0.005350434	-0.0264676463	0.0029118387	-0.0017818712	-0.009371258	0.0058960788	-0.0143185274	-0.0559319433	0.0110115357	-0.0358166477	0.0885936752	-0.0152573896	0.075216336	-0.1059032361	-0.0355122086	0.0083539936	0.0610680548	-0.0322740996	0.0556827305	-0.0626318881	0.1149773097	-0.0579591622	0.0013437077	0.1056666568	0.1055567991	0.1053737875	0.1051177489	0.0	0.0368250012397766	0.0	0.0	0.0013560807163095	-0.0447379983961582	-0.0131757512685624	0.000173600421491	0.0020014885004946	0.0570610016584396	0.0031817746101409	0.0032559579102644	1.0123689669737904e-05	-0.0	-0.0003239999734298	0.0	1.049759827825111e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3816.9810852669584	-6.057693053396179	36.69564512916432	14569344.605285728	2908.081565825537	-40.59635065023804	8456938.393494306	1648.0636861170822	3825.1116464309	-3.3752911703213613	14631479.107661309	11.392590484449345	3634.2684162136734	2851.838799384828	0.722052	14.187312	0.1644747657370234	0.0933536607947895	-0.0406465898	0.0196225976	0.0037895098	0.0295393512	0.0257367028	0.0438036532	-0.0024541208	-0.0777261048	-0.0018223504	-0.0041863938	0.0018541858	-0.0009344579	-0.0296176987	0.0353092846	-0.0193729837	-0.0320317706	-0.0181812964	0.0054979621	-0.0267846903	0.0220815214	-0.0369144584	0.0133006701	-0.0272310499	0.0933545363	-0.0156061679	0.0783978836	-0.0338518856	0.0183611779	-0.0261984077	0.0962239116	-0.0702173003	0.061276908	-0.0972504986	0.0201485359	-0.0566983854	-0.0263490266	0.1056015514	0.1052965477	0.1047888607	0.1040794675	0.0	0.0070480991126942	-0.0297769021270823	0.0008866639002858	4.9675701102360766e-05	-0.0650917923787659	-0.0203537939826077	0.0004142769294864	0.0042369414350803	0.1343541186917889	0.0772931170333492	0.0180510292094473	0.005974225940731	-0.0006849998711728	-0.0006849998711728	4.6922482350675254e-07	4.6922482350675254e-07	5.600000070948852e-05	5.600000070948852e-05	3.1360000794627142e-09	3.1360000794627142e-09	1.91799973915858e-08	1.91799973915858e-08	3.6787229994123813e-16	3.6787229994123813e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3822.9066650735567	5.925579806598307	35.112496044365635	14614615.369863825	2925.5759435583045	17.49437773276759	8558994.601527063	306.05325225675443	3826.811713466122	1.7000670352222187	14644487.890321516	2.890227924249265	3638.986722413116	2842.3088468478973	0.60394	11.866566	0.0624172973463694	0.0421210548454698	-0.0468464972	0.0309609547	0.0196809046	0.0326277227	-0.0224345469	-0.0144629229	0.0020171089	-0.0320526726	-0.0069841703	0.0254210898	-0.003901024	0.0299843212	-0.0247754508	0.0486149023	-0.0214370983	-0.0315159373	-0.0073004829	-0.0026578939	-0.0051077269	0.018194356	-0.0671917421	9.14326e-05	-0.0604500419	0.0803090347	-0.0019365978	0.0615604144	-0.0265418392	-0.0113185484	-0.0153154781	0.0484818547	-0.0906759682	0.0549520741	-0.0425420861	-0.0618797529	0.0066764883	-0.0522896308	0.1055039182	0.1049065715	0.1039134975	0.1025284424	0.0	0.010487999767065	0.0034399006543708	1.1832916511940656e-05	0.0001099981391139	-0.0548262183692571	0.0102655740095088	0.0001053820097447	0.0030059142206734	0.1732649792784997	0.0389108605867108	0.0300207530443789	0.0015140550715984	-0.0008249999323815	-0.0001400000612087	6.806248884294795e-07	1.9600017138439762e-08	0.0	-5.600000070948852e-05	0.0	3.1360000794627142e-09	0.0	-1.91799973915858e-08	0.0	3.6787229994123813e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3827.0103786088257	4.10371353526898	16.84046477954983	14646008.437979668	2905.4712145142103	-20.104729044094256	8441762.97837068	404.2001299364471	3824.796011117789	-2.0157023483329795	14629064.52666255	4.063055957075088	3636.6474403576326	2849.4842181581653	0.589788	11.588509	0.0894649573481546	0.0682613012072251	-0.0405666649	0.0289456696	-0.0054790026	0.0358894386	-0.0144467368	-0.0068903243	0.0294690526	0.0085380326	0.0014625255	-0.0098012026	0.0025527635	-0.015780843	-0.027882862	0.0297158822	-0.0173692511	-0.0317328485	-0.0016271296	0.0067662042	0.0359704085	-0.0363457094	-0.0452643568	-0.0123602758	-0.0289367068	0.0679803533	-0.0145509181	0.0334580711	-0.0433879588	-0.0321423167	0.0531836825	0.021182415	-0.0352124863	0.038785461	-0.0336333445	-0.0078133677	-0.0025581794	-0.0743436536	0.1053737875	0.1043873508	0.1027501241	0.1004723146	0.0	0.0148634627020811	0.0043754629350161	1.9144675895699715e-05	0.0002209225234961	-0.0568837289399368	-0.0020575105706797	4.233349748458719e-06	0.0032357586181122	0.1082837082994387	-0.064981270979061	0.0117253614830779	0.0042225655780541	-0.0005189999479866	0.0003059999843948	2.693609460100936e-07	9.363599044967901e-08	-5.5000000374061386e-05	-5.5000000374061386e-05	3.0250000411467527e-09	3.0250000411467527e-09	-1.4272498995973517e-08	-1.4272498995973517e-08	2.0370422759006503e-16	2.0370422759006503e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3829.852601081167	2.842222472341291	8.07822858228184	14667770.94600818	2921.659328633375	16.188114119164766	8536093.232590424	262.0550387351016	3824.221649289287	-0.5743618285018783	14624671.222892877	0.3298915100400211	3640.6914838396215	2874.584864945362	0.566122	11.123492	0.0921156367983072	0.0469857496421733	-0.0271035251	0.0322145283	-0.0281806419	0.0230309186	-0.0326485871	-0.0268165416	-0.0069151054	0.021772765	0.0028610242	0.0209410103	-0.0028126826	0.0162876648	-0.0306593223	0.0226787915	-0.0252591391	-0.0248414282	0.0122472646	0.0111375409	0.0183453689	-0.0184972862	-0.0428659378	-0.0275847522	-0.0101149499	0.0819752093	-0.0046638716	0.0464164196	-0.0481743193	-0.0177557886	0.0352690291	-0.0037531486	-0.0165676929	0.0227121889	-0.0680486023	0.0442742741	0.0201796776	-0.0665702865	0.1052111993	0.1037395254	0.101301965	0.0979212136	0.0	0.0368742091311844	0.0220107464291033	0.0004844729583662	0.0013597072990503	-0.0630855334882483	-0.0062018045483114	3.846237965545719e-05	0.0039797845354968	0.0791833375960493	-0.0291003707033894	0.0062700009528499	0.0008468315750746	-0.0011499995268402	-0.0006309995788536	1.322498911732684e-06	3.981604685134205e-07	-0.0001199999963923	-6.499999601823861e-05	1.4399999134152012e-08	4.2249994823710354e-09	-6.899997721766198e-08	-5.472747822168847e-08	4.7609968560378716e-15	2.9950968725053854e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3830.2136202931993	0.3610192120322608	0.1303348714563945	14670536.377079535	2909.4542798956727	-12.205048737702327	8464924.206803247	148.96321468968918	3834.4520876410734	10.230438351786232	14703022.812414983	104.66186886969862	3647.909857313592	2891.506129551017	0.647073	12.714072	0.1222569580325997	0.0760477575101039	-0.0132082441	0.0185530944	-0.0467836174	-0.0196588771	-0.0235284634	-0.0058750427	0.0196948743	0.0430207591	-0.023837523	-0.0050728032	-0.0246380563	-0.0048320043	-0.0239335772	0.0082875545	0.012837496	-0.0088681858	0.0025653549	0.0395089248	-0.0120450161	-0.0480252593	-0.0069079668	0.0207461945	0.0487034135	-0.0274187624	-0.0154405525	-0.0126864958	0.0334264378	0.0399954968	0.0387042873	-0.0328094389	0.0006549937	-0.0187641451	-0.0816268559	0.0409428922	-0.0269818764	-0.0315399942	0.1050162037	0.1029638934	0.099573034	0.0948877073	0.0	0.0368386889420548	-3.552018912960503e-05	1.261683835802911e-09	0.0013570890029694	-0.0298471883651387	0.0332383451231096	0.0011047875865229	0.000890854653304	0.0551041179415534	-0.0240792196544959	0.0030364638141166	0.0005798088191694	0.0001440000052051	0.0012939995320453	2.0736001499068823e-08	1.6744347889334555e-06	-0.0001239999976869	-4.0000012945999954e-06	1.5375999426351203e-08	1.600001035680164e-11	8.928000174389644e-09	7.792797739205164e-08	7.97091871139015e-17	6.0727696604161095e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3819.492288890879	-10.721331402320176	114.94694703837668	14588521.344896886	2902.506347907424	-6.947931988248911	8424543.099642891	48.27375891333247	3826.6164533274414	-7.835634313631999	14642993.480876286	61.397165096967214	3639.257256390728	2865.7353816535	0.672142	13.206637	0.2236891859551322	0.13537117535935	-0.0303621441	0.0422848928	0.0137154641	0.0160407947	-0.0153804609	-0.0463347478	-0.0093753922	0.0573505881	-0.0038253533	0.0162755096	-0.0027313669	0.0295964753	-0.0178399938	0.0514412867	-0.0041145433	-0.0431452412	0.0070176717	0.0218501211	0.0009268528	0.0236974017	-0.0462562272	-0.0259746425	-0.011842668	0.0679648041	0.0226490731	0.0223232869	0.0180158081	-0.0051344673	0.0029530188	0.0191150391	-0.000597038	0.0385508298	-0.0615291618	0.0261752259	0.0815277542	-0.0218582702	0.1047888607	0.1020614103	0.097568123	0.0913867402	0.0	0.0106990002095699	-0.0261396887324848	0.0006832833270311	0.0001144686054843	-0.0484442582936424	-0.0185970699285037	0.0003458510099256	0.0023468461616211	0.1689561330778133	0.1138520151362599	0.0285461749046077	0.0129622813505871	-0.0010339993122655	-0.0011779993174706	1.069154577765527e-06	1.3876823919611997e-06	0.0	0.0001239999976869	0.0	1.5375999426351203e-08	0.0	-8.928000174389644e-09	0.0	7.97091871139015e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3821.737434391465	2.2451455005857497	5.0406783188004365	14605677.017429056	2913.383548438304	10.877200530880144	8487803.700310964	118.31349138897932	3832.3439459172814	5.72749258984004	14686860.11980884	32.80417136667256	3644.564195247691	2851.894386756711	0.577829	11.353518	0.2113284047712931	0.0990639491847378	-0.0464061703	0.0519061787	0.0425970989	0.0435861945	-0.0171269911	0.0089310398	0.0273591878	0.059212296	-0.0150108263	-0.0140492819	-0.0143116002	-0.0078200147	-0.0126463912	0.0639687692	-0.0246503745	-0.0674502449	0.0011513457	0.007415777	0.00483404	0.0419952689	-0.0593976436	-0.020023474	-0.0300751926	0.1075346303	0.0274096602	0.0306150512	0.0271683004	-0.0189842148	-0.0432922877	0.0502078748	-0.037185482	0.0189298121	-0.0359953059	-0.0159689401	0.0566688262	-0.0271818132	0.1045292404	0.1010331881	0.0952927888	0.0874355596	0.0	-0.0017932251059278	-0.0124922253154977	0.0001560556933331	3.2156562805297698e-06	-0.103112598427387	-0.0546683401337446	0.0029886274129787	0.0106322079544475	0.2360635093941141	0.0671073763163008	0.055725980467465	0.0045033999560576	-0.0018990554692644	-0.0008650561569989	3.606411675343031e-06	7.483221547617057e-07	0.0004182554279295	0.0004182554279295	1.749376029924892e-07	1.749376029924892e-07	0.0002578976751866	0.0002578976751866	6.651121086665302e-08	6.651121086665302e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
